input_image,bone_mask_image,TP,TN,FP,FN,recall,precision,FPR,FNR,PWC,Jaccard,Dice
dataset\inputs\input02704.dcm,dataset\bone_masks\mask02704.dcm,4146,256220,89,214,0.9509174311926606,0.9789846517119244,0.000347237123940244,0.04908256880733945,0.11623936870130319,0.9318948078219824,0.9647469458987784
dataset\inputs\input02705.dcm,dataset\bone_masks\mask02705.dcm,4405,257064,139,536,0.8915199352357822,0.9694102112676056,0.0005404291551809272,0.10848006476421777,0.2574920654296875,0.8671259842519684,0.9288350026357406
dataset\inputs\input02706.dcm,dataset\bone_masks\mask02706.dcm,5119,254368,312,449,0.9193606321839081,0.9425520162032774,0.0012250667504319147,0.08063936781609195,0.2924133903046325,0.8705782312925169,0.9308118919901809
dataset\inputs\input02707.dcm,dataset\bone_masks\mask02707.dcm,4628,256396,457,663,0.8746928746928747,0.9101278269419862,0.0017792278073450573,0.12530712530712532,0.42724609375,0.8051496172581767,0.8920585967617579
dataset\inputs\input02708.dcm,dataset\bone_masks\mask02708.dcm,5293,256224,227,400,0.9297382750746531,0.9588768115942029,0.0008851593481795743,0.07026172492534692,0.2391815185546875,0.894087837837838,0.9440827610808883
dataset\inputs\input02709.dcm,dataset\bone_masks\mask02709.dcm,5275,254812,59,137,0.9746858832224686,0.98893888263967,0.00023148965555123965,0.025314116777531412,0.0753026513448823,0.964174739535734,0.9817606551274893
dataset\inputs\input02710.dcm,dataset\bone_masks\mask02710.dcm,2967,257541,61,469,0.8635040745052387,0.9798546895640687,0.0002367994037313375,0.13649592549476136,0.20303557336479747,0.8484415213039749,0.9180074257425742
dataset\inputs\input02711.dcm,dataset\bone_masks\mask02711.dcm,7207,253484,73,83,0.9886145404663923,0.9899725274725275,0.00028790370607003555,0.011385459533607681,0.059805173147477256,0.9788129838381094,0.989293067947838
dataset\inputs\input02712.dcm,dataset\bone_masks\mask02712.dcm,13049,248224,84,787,0.9431193986701358,0.993603898576106,0.00033828954363129664,0.056880601329864125,0.3322601318359375,0.9374281609195404,0.9677036597574994
dataset\inputs\input02713.dcm,dataset\bone_masks\mask02713.dcm,4856,256558,68,662,0.8800289960130482,0.9861900893582454,0.0002649770483115507,0.11997100398695179,0.278472900390625,0.8693161475116363,0.9300900210687608
dataset\inputs\input02714.dcm,dataset\bone_masks\mask02714.dcm,4861,256459,105,719,0.8711469534050179,0.9788562223117196,0.0004092546109352832,0.1288530465949821,0.3143310546875,0.8550571679859279,0.9218661103736013
dataset\inputs\input02715.dcm,dataset\bone_masks\mask02715.dcm,5605,253326,186,776,0.878388967246513,0.967881194957693,0.0007336930796175329,0.12161103275348692,0.3701523319212137,0.853509974112989,0.920966151823858
dataset\inputs\input02716.dcm,dataset\bone_masks\mask02716.dcm,5743,254190,34,180,0.9696099949349991,0.99411459234897,0.0001337403234942413,0.030390005065000843,0.08226118310032404,0.9640758771193554,0.9817094017094017
dataset\inputs\input02717.dcm,dataset\bone_masks\mask02717.dcm,2607,257756,14,662,0.7974915876414805,0.9946585272796642,5.431198355122784e-05,0.20250841235851944,0.2589651354778405,0.7940907706366129,0.8852292020373514
dataset\inputs\input02718.dcm,dataset\bone_masks\mask02718.dcm,4510,256931,145,558,0.8898973954222573,0.9688506981740065,0.0005640355381288024,0.1101026045777427,0.2681732177734375,0.865144830232112,0.927697212794405
dataset\inputs\input02719.dcm,dataset\bone_masks\mask02719.dcm,4373,256874,108,789,0.8471522665633475,0.9758982370006695,0.00042026289779050673,0.15284773343665245,0.3421783447265625,0.8297912713472486,0.9069791558643575
dataset\inputs\input02720.dcm,dataset\bone_masks\mask02720.dcm,4944,256153,380,667,0.8811263589378008,0.9286250939143501,0.001481290906043277,0.11887364106219925,0.3993988037109375,0.8252378567851778,0.9042524005486968
dataset\inputs\input02721.dcm,dataset\bone_masks\mask02721.dcm,2823,257554,72,519,0.8447037701974865,0.9751295336787564,0.0002794748977199506,0.15529622980251345,0.22646454737745625,0.82688927943761,0.9052429052429053
dataset\inputs\input02722.dcm,dataset\bone_masks\mask02722.dcm,4111,255930,74,490,0.8935014127363616,0.9823178016726404,0.0002890579834690083,0.10649858726363834,0.21641948542813838,0.8793582887700535,0.9358069656271341
dataset\inputs\input02723.dcm,dataset\bone_masks\mask02723.dcm,13582,247462,103,997,0.931613965292544,0.9924735111435878,0.00041605234988790823,0.06838603470745593,0.41961669921875,0.9250783272033783,0.9610812340786866
dataset\inputs\input02724.dcm,dataset\bone_masks\mask02724.dcm,5689,253772,773,179,0.9694955691888207,0.8803775920767565,0.0030367911371270307,0.03050443081117928,0.3655731472699136,0.8566480951663906,0.9227899432278994
dataset\inputs\input02725.dcm,dataset\bone_masks\mask02725.dcm,6056,255226,229,633,0.9053670204813874,0.9635640413683373,0.0008964396860503807,0.09463297951861264,0.328826904296875,0.8753975137322925,0.9335594265453985
dataset\inputs\input02726.dcm,dataset\bone_masks\mask02726.dcm,5763,255297,205,879,0.8676603432700993,0.9656501340482574,0.0008023420560308726,0.13233965672990064,0.41351318359375,0.8416824886811741,0.9140364789849326
dataset\inputs\input02727.dcm,dataset\bone_masks\mask02727.dcm,6338,254942,223,641,0.9081530305201319,0.9660112787684804,0.0008739443105441578,0.09184696947986817,0.32958984375,0.8800333240766453,0.9361890694239291
dataset\inputs\input02728.dcm,dataset\bone_masks\mask02728.dcm,6034,255196,197,717,0.8937935120722856,0.9683838870165302,0.0007713602173904531,0.10620648792771441,0.348663330078125,0.8684513529073116,0.9295948236019104
dataset\inputs\input02729.dcm,dataset\bone_masks\mask02729.dcm,5201,254487,52,528,0.9078373189038227,0.9901008947268227,0.00020429089451911103,0.09216268109617734,0.22284721902039437,0.8996713371389033,0.9471863048625023
dataset\inputs\input02730.dcm,dataset\bone_masks\mask02730.dcm,5816,253291,177,548,0.9138906348208674,0.970465543133656,0.0006983130020357599,0.08610936517913262,0.27902644785861636,0.8891606787952913,0.9413288014890345
dataset\inputs\input02731.dcm,dataset\bone_masks\mask02731.dcm,4492,256842,336,474,0.9045509464357632,0.9304059652029826,0.0013064881132911835,0.09544905356423682,0.308990478515625,0.8472274613353452,0.9172963038595058
dataset\inputs\input02732.dcm,dataset\bone_masks\mask02732.dcm,4897,254619,94,551,0.8988619676945668,0.9811660989781607,0.00036904280503939727,0.10113803230543318,0.24792340127843912,0.8836160230963552,0.9382124724590478
dataset\inputs\input02733.dcm,dataset\bone_masks\mask02733.dcm,4556,256813,161,614,0.881237911025145,0.9658681365274538,0.0006265225275708826,0.11876208897485493,0.2956390380859375,0.8546238979553554,0.9216142409224234
dataset\inputs\input02734.dcm,dataset\bone_masks\mask02734.dcm,13802,247197,333,812,0.9444368413849733,0.9764414573753095,0.0013452914798206279,0.055563158615026684,0.4367828369140625,0.9233959991971632,0.9601725277400953
dataset\inputs\input02735.dcm,dataset\bone_masks\mask02735.dcm,5006,255963,606,569,0.8979372197309416,0.8920171062009978,0.002361937724354852,0.1020627802690583,0.4482269287109375,0.8099013104675619,0.894967372843479
dataset\inputs\input02736.dcm,dataset\bone_masks\mask02736.dcm,6178,252851,439,564,0.9163452981311183,0.9336557352274445,0.0017331912037585376,0.08365470186888163,0.38572175732217573,0.8603258599080906,0.924919529904933
dataset\inputs\input02737.dcm,dataset\bone_masks\mask02737.dcm,5211,255233,342,1358,0.7932714263967118,0.9384116693679092,0.001338159053115524,0.20672857360328817,0.64849853515625,0.7540153378671682,0.8597591156574823
dataset\inputs\input02738.dcm,dataset\bone_masks\mask02738.dcm,7848,250484,237,853,0.9019652913458224,0.9706864564007421,0.0009452738302734913,0.09803470865417768,0.4201648279637039,0.8780487804878048,0.935064935064935
dataset\inputs\input02739.dcm,dataset\bone_masks\mask02739.dcm,0,257250,492,0,nan,0.0,0.0019088856298158624,nan,0.19088856298158624,0.0,0.0
dataset\inputs\input02740.dcm,dataset\bone_masks\mask02740.dcm,13722,247179,419,824,0.9433521242953389,0.970369846545506,0.0016922592266496498,0.05664787570466107,0.4741668701171875,0.916939525559639,0.9566702687628542
dataset\inputs\input02741.dcm,dataset\bone_masks\mask02741.dcm,13405,247598,408,733,0.9481539114443344,0.9704626076884094,0.001645121488996234,0.05184608855566558,0.4352569580078125,0.9215591915303176,0.9591785624843476
dataset\inputs\input02742.dcm,dataset\bone_masks\mask02742.dcm,11716,249242,165,1021,0.9198398366962393,0.9861122801111017,0.0006615692422425994,0.0801601633037607,0.452423095703125,0.9080762672453885,0.9518238687139492
dataset\inputs\input02743.dcm,dataset\bone_masks\mask02743.dcm,14281,245239,247,542,0.9634352020508669,0.9829983480176211,0.0010061673578126654,0.0365647979491331,0.3031013142073459,0.9476443264764433,0.9731184627440291
dataset\inputs\input02744.dcm,dataset\bone_masks\mask02744.dcm,13531,247672,322,619,0.9562544169611308,0.976755937342092,0.001298418510125245,0.04374558303886926,0.3589630126953125,0.9349778883360974,0.9663964575224083
dataset\inputs\input02745.dcm,dataset\bone_masks\mask02745.dcm,12520,248814,254,556,0.9574793514836342,0.9801158603413183,0.0010198018211893941,0.04252064851636586,0.308990478515625,0.9392348087021755,0.9686653771760154
dataset\inputs\input02746.dcm,dataset\bone_masks\mask02746.dcm,7755,253038,165,150,0.9810246679316889,0.9791666666666666,0.0006516510467885452,0.018975332068311195,0.12063973528195229,0.9609665427509295,0.9800947867298578
dataset\inputs\input02747.dcm,dataset\bone_masks\mask02747.dcm,5805,255186,71,48,0.9917990773962071,0.9879169503063309,0.00027815103993230353,0.008200922603792926,0.04557466201983838,0.9799122214719784,0.9898542075198227
dataset\inputs\input02748.dcm,dataset\bone_masks\mask02748.dcm,9943,250549,236,239,0.9765272048713416,0.9768150112977699,0.0009410451183284487,0.02347279512865842,0.18201535059988427,0.9544058360529852,0.9766710868817838
